                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2209,                 9.0214,                 2.8959,                 0.3712,                0.17559,                0.14926,                0.07519,                 1.7713,                 4.8217,                 2.3285,              0.0049975,              0.0049975,              0.0049975
                      2,                  1.857,                 3.5198,                 2.2738,                0.57803,                0.13971,                0.08809,                0.03603,                 1.9625,                 4.5398,                 2.4165,              0.0098985,              0.0098985,              0.0098985
                      3,                 1.8468,                 3.4897,                 2.2189,                0.43146,                0.22422,                0.17343,                0.09255,                 1.6003,                 4.4692,                 2.0913,               0.009802,               0.009802,               0.009802
                      4,                  1.714,                 2.9979,                 2.0865,                 0.4932,                0.38475,                0.32727,                0.16999,                 1.4896,                 3.2701,                 1.9969,               0.009802,               0.009802,               0.009802
                      5,                 1.6444,                 2.7121,                 2.0169,                0.48331,                0.38727,                0.39753,                0.22745,                 1.4973,                 2.9948,                 1.9803,               0.009703,               0.009703,               0.009703
                      6,                 1.6141,                 2.5282,                 1.9828,                0.54296,                0.45576,                0.44394,                0.26322,                 1.4565,                 2.7158,                 1.9328,               0.009604,               0.009604,               0.009604
                      7,                 1.5932,                 2.4017,                 1.9646,                0.53602,                0.45763,                0.47206,                0.28818,                 1.4329,                 2.7027,                 1.9077,               0.009505,               0.009505,               0.009505
                      8,                 1.5655,                 2.2898,                 1.9312,                0.52036,                0.52607,                0.51389,                0.31053,                 1.4261,                 2.3801,                 1.8881,               0.009406,               0.009406,               0.009406
                      9,                 1.5585,                 2.2037,                 1.9135,                0.61211,                0.50938,                0.50949,                0.32654,                 1.3962,                  2.282,                 1.8602,               0.009307,               0.009307,               0.009307
                     10,                 1.5498,                 2.1541,                 1.9027,                0.59008,                0.55383,                0.54801,                0.34786,                 1.3844,                 2.1254,                 1.8566,               0.009208,               0.009208,               0.009208
                     11,                 1.5273,                 2.0636,                 1.8818,                0.64097,                0.54772,                0.58534,                0.38102,                 1.3644,                 1.9956,                 1.8357,               0.009109,               0.009109,               0.009109
                     12,                  1.508,                 2.0188,                 1.8509,                0.60359,                0.59304,                0.57931,                0.36464,                 1.3574,                 2.0514,                 1.8275,                0.00901,                0.00901,                0.00901
                     13,                 1.4976,                 1.9502,                 1.8601,                0.62487,                0.58724,                 0.6064,                0.39583,                 1.3457,                 2.0366,                 1.8156,               0.008911,               0.008911,               0.008911
                     14,                 1.4985,                 1.9332,                 1.8487,                0.61467,                0.59472,                0.62216,                0.40941,                 1.3349,                 2.0255,                 1.8058,               0.008812,               0.008812,               0.008812
                     15,                 1.4853,                 1.8829,                 1.8308,                0.65545,                0.61162,                0.63598,                0.42605,                 1.3221,                 1.9778,                 1.7911,               0.008713,               0.008713,               0.008713
                     16,                  1.478,                 1.8715,                 1.8254,                0.64874,                0.61718,                0.64455,                0.43535,                  1.314,                 1.9317,                 1.7826,               0.008614,               0.008614,               0.008614
                     17,                 1.4589,                 1.8045,                 1.8146,                0.65605,                0.61176,                0.64584,                0.44084,                 1.3163,                 1.9426,                 1.7837,               0.008515,               0.008515,               0.008515
                     18,                 1.4564,                 1.7871,                  1.813,                 0.6633,                0.60765,                0.64875,                0.44386,                 1.3063,                 1.9317,                 1.7762,               0.008416,               0.008416,               0.008416
                     19,                 1.4574,                 1.7674,                 1.8069,                0.68168,                0.59733,                0.65324,                0.44731,                 1.2981,                 1.9076,                 1.7694,               0.008317,               0.008317,               0.008317
                     20,                 1.4354,                 1.7187,                 1.7843,                0.70718,                0.59206,                0.65895,                0.44959,                 1.2928,                  1.891,                  1.763,               0.008218,               0.008218,               0.008218
                     21,                 1.4437,                 1.7181,                 1.7993,                0.71886,                0.58869,                  0.662,                0.45182,                 1.2904,                 1.8883,                 1.7584,               0.008119,               0.008119,               0.008119
                     22,                 1.4256,                 1.6752,                 1.7829,                0.70628,                0.59906,                0.66429,                0.45377,                 1.2886,                 1.8903,                 1.7564,                0.00802,                0.00802,                0.00802
                     23,                 1.4272,                 1.6881,                 1.7805,                0.71108,                0.59481,                 0.6666,                0.45802,                 1.2865,                 1.8887,                 1.7536,               0.007921,               0.007921,               0.007921
                     24,                 1.4161,                 1.6341,                 1.7723,                0.70749,                0.60078,                 0.6683,                0.45683,                 1.2853,                 1.8886,                 1.7525,               0.007822,               0.007822,               0.007822
                     25,                 1.4158,                 1.6158,                 1.7666,                0.69893,                0.60307,                0.66832,                0.46243,                 1.2854,                 1.8868,                 1.7532,               0.007723,               0.007723,               0.007723
                     26,                 1.3891,                 1.5987,                 1.7454,                0.69522,                0.60401,                 0.6704,                0.46505,                 1.2832,                 1.8812,                 1.7509,               0.007624,               0.007624,               0.007624
                     27,                 1.3987,                 1.5899,                 1.7507,                0.69117,                0.61031,                0.66935,                0.46785,                 1.2805,                 1.8782,                 1.7479,               0.007525,               0.007525,               0.007525
                     28,                 1.3964,                 1.5769,                 1.7452,                0.67057,                0.62239,                0.66976,                0.46748,                 1.2786,                 1.8685,                 1.7464,               0.007426,               0.007426,               0.007426
                     29,                 1.3927,                 1.5657,                 1.7476,                0.66391,                0.62545,                0.67215,                0.46848,                 1.2775,                 1.8597,                 1.7461,               0.007327,               0.007327,               0.007327
                     30,                 1.3756,                 1.5409,                 1.7356,                0.69201,                0.61156,                0.67472,                0.47019,                 1.2737,                 1.8465,                 1.7434,               0.007228,               0.007228,               0.007228
                     31,                 1.3799,                 1.5265,                 1.7309,                0.69744,                0.59341,                0.67543,                0.47364,                 1.2718,                 1.8356,                 1.7406,               0.007129,               0.007129,               0.007129
                     32,                 1.3716,                 1.5217,                 1.7177,                0.70597,                 0.5945,                0.67542,                0.47694,                 1.2695,                 1.8282,                 1.7394,                0.00703,                0.00703,                0.00703
                     33,                  1.361,                 1.4862,                  1.713,                0.70603,                0.58841,                0.67719,                 0.4788,                 1.2662,                 1.8132,                 1.7372,               0.006931,               0.006931,               0.006931
                     34,                 1.3613,                 1.4758,                 1.7154,                0.71196,                0.58353,                0.67732,                0.47948,                 1.2649,                 1.8045,                 1.7357,               0.006832,               0.006832,               0.006832
                     35,                 1.3607,                 1.4873,                 1.7124,                0.69264,                0.58695,                0.67929,                0.48032,                 1.2622,                 1.7949,                 1.7319,               0.006733,               0.006733,               0.006733
                     36,                  1.345,                 1.4543,                 1.7094,                0.67293,                0.61595,                0.68024,                0.48327,                 1.2591,                 1.7839,                 1.7298,               0.006634,               0.006634,               0.006634
                     37,                 1.3302,                 1.4308,                  1.687,                0.69745,                0.60651,                0.68168,                 0.4856,                 1.2574,                 1.7742,                 1.7269,               0.006535,               0.006535,               0.006535
                     38,                 1.3466,                 1.4366,                 1.7002,                0.65008,                0.63839,                0.68521,                0.48631,                  1.255,                 1.7643,                 1.7241,               0.006436,               0.006436,               0.006436
                     39,                 1.3371,                 1.4219,                 1.6977,                0.65203,                0.64388,                0.68764,                0.48806,                  1.256,                 1.7533,                 1.7239,               0.006337,               0.006337,               0.006337
                     40,                 1.3259,                 1.3921,                 1.6879,                0.65395,                0.66434,                0.68783,                 0.4891,                 1.2539,                  1.746,                 1.7222,               0.006238,               0.006238,               0.006238
                     41,                 1.3125,                 1.3586,                 1.6656,                0.64453,                0.66923,                0.68812,                0.49022,                 1.2508,                 1.7449,                 1.7194,               0.006139,               0.006139,               0.006139
                     42,                 1.3256,                 1.3812,                 1.6835,                0.63784,                0.66517,                0.69061,                0.49248,                 1.2492,                 1.7392,                 1.7188,                0.00604,                0.00604,                0.00604
                     43,                 1.3151,                 1.3797,                 1.6745,                0.65855,                0.65912,                0.69199,                0.49433,                 1.2474,                 1.7293,                 1.7164,               0.005941,               0.005941,               0.005941
