                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.184,                 7.2331,                  2.842,                0.45638,                0.09226,                 0.1148,                0.05938,                 1.6478,                  5.908,                 2.2284,              0.0049977,              0.0049977,              0.0049977
                      2,                 1.8071,                  3.246,                 2.2087,                0.43659,                0.15247,                0.14801,                0.07692,                 1.6488,                 5.1416,                 2.1721,              0.0098477,              0.0098477,              0.0098477
                      3,                 1.7886,                 3.1104,                 2.1499,                0.47917,                0.33382,                0.32334,                0.18067,                 1.5221,                 2.8919,                 2.0289,                 0.0097,                 0.0097,                 0.0097
                      4,                 1.6698,                 2.6984,                 2.0311,                0.48057,                0.49546,                0.45404,                0.26242,                 1.4643,                 2.6768,                 1.9676,                 0.0097,                 0.0097,                 0.0097
                      5,                 1.6272,                 2.5005,                 1.9821,                 0.4641,                0.48556,                0.45882,                0.26751,                 1.4123,                 2.6704,                 1.9052,                0.00955,                0.00955,                0.00955
                      6,                 1.5858,                 2.3572,                 1.9427,                0.54698,                0.54317,                0.53311,                0.30751,                  1.375,                 2.8122,                 1.8669,                 0.0094,                 0.0094,                 0.0094
                      7,                 1.5727,                 2.2645,                 1.9164,                 0.5943,                0.51066,                 0.5436,                0.33502,                 1.3328,                 2.2234,                 1.8145,                0.00925,                0.00925,                0.00925
                      8,                 1.5461,                 2.1505,                 1.8885,                0.54353,                0.60399,                0.60009,                 0.3663,                 1.3358,                 2.1915,                 1.8208,                 0.0091,                 0.0091,                 0.0091
                      9,                 1.5384,                 2.0749,                 1.8764,                0.62262,                0.62917,                0.64794,                0.40858,                 1.3325,                 2.1739,                 1.8021,                0.00895,                0.00895,                0.00895
                     10,                 1.5306,                 2.0187,                 1.8731,                0.63009,                0.64359,                0.65025,                0.40721,                 1.3083,                 2.1028,                 1.7868,                 0.0088,                 0.0088,                 0.0088
                     11,                 1.5111,                 1.9554,                  1.855,                0.62394,                 0.6506,                0.65364,                0.41153,                 1.3031,                 1.9877,                 1.7705,                0.00865,                0.00865,                0.00865
                     12,                 1.4999,                 1.9048,                 1.8324,                0.73134,                0.58738,                0.65627,                0.42047,                 1.2933,                 1.9857,                 1.7578,                 0.0085,                 0.0085,                 0.0085
                     13,                 1.4822,                 1.8307,                 1.8173,                0.73563,                0.60453,                0.68563,                0.44778,                 1.2745,                 1.9811,                 1.7397,                0.00835,                0.00835,                0.00835
                     14,                 1.4837,                 1.8376,                 1.8111,                 0.7466,                0.60323,                 0.6963,                0.45346,                 1.2675,                 1.9724,                   1.73,                 0.0082,                 0.0082,                 0.0082
                     15,                  1.413,                 1.6269,                 1.7575,                0.62984,                0.69668,                0.70581,                0.46469,                 1.2671,                 1.9742,                 1.7282,                0.00805,                0.00805,                0.00805
                     16,                 1.4624,                  1.754,                 1.7937,                0.63043,                 0.6978,                0.70208,                0.46124,                 1.2635,                 1.9752,                 1.7239,                 0.0079,                 0.0079,                 0.0079
                     17,                 1.4697,                 1.7498,                 1.7997,                0.60971,                0.71324,                0.70825,                0.46394,                 1.2613,                 1.9568,                 1.7206,                0.00775,                0.00775,                0.00775
                     18,                 1.4574,                 1.7129,                 1.7819,                0.62601,                0.71101,                0.71218,                0.46971,                 1.2575,                 1.9511,                 1.7175,                 0.0076,                 0.0076,                 0.0076
                     19,                 1.4537,                 1.6935,                  1.779,                0.66406,                0.67634,                0.71241,                0.46818,                  1.257,                 1.9294,                 1.7148,                0.00745,                0.00745,                0.00745
