epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,509.548,1.04016,20.71,0.3143,0.78979,0.13438,0.1391,0.04271,1.4658,0.44183,0.38467,0.00999158,0.00999158,0.00999158
2,1006.26,1.04705,0.73146,0.24629,0.54279,0.38222,0.38419,0.14193,0.8256,0.8046,0.23588,0.009835,0.009835,0.009835
3,1505.6,0.99412,0.71621,0.22997,0.5978,0.49808,0.52405,0.19245,0.78247,0.73638,0.22888,0.00967,0.00967,0.00967
4,2006.6,0.97903,0.69947,0.21528,0.57633,0.51507,0.53241,0.20768,0.77604,0.72181,0.21953,0.009505,0.009505,0.009505
5,2507.27,0.933,0.70361,0.2062,0.55366,0.56909,0.57769,0.19825,0.75142,0.77267,0.2292,0.00934,0.00934,0.00934
6,3010.14,0.91668,0.69523,0.20065,0.7485,0.61706,0.67765,0.29449,0.61661,0.78668,0.18003,0.009175,0.009175,0.009175
7,3510.62,0.89632,0.69355,0.19413,0.71871,0.64042,0.67647,0.2679,0.70444,0.67781,0.20412,0.00901,0.00901,0.00901
8,4008.47,0.89857,0.68159,0.19208,0.72487,0.66843,0.69951,0.27011,0.7067,0.67799,0.21538,0.008845,0.008845,0.008845
9,4506.51,0.89492,0.67749,0.19184,0.73919,0.66158,0.72973,0.35626,0.56252,0.73033,0.17412,0.00868,0.00868,0.00868
10,5005.28,0.85568,0.68137,0.17852,0.69561,0.66685,0.67869,0.29933,0.64659,0.72768,0.18867,0.008515,0.008515,0.008515
11,5502.33,0.86202,0.67533,0.18098,0.77492,0.64597,0.7078,0.29199,0.65734,0.70832,0.19596,0.00835,0.00835,0.00835
12,5999.27,0.86367,0.6611,0.17973,0.7315,0.63186,0.67607,0.30402,0.73544,0.64265,0.19191,0.008185,0.008185,0.008185
13,6496.38,0.88922,0.62948,0.18143,0.77505,0.68996,0.72509,0.30446,0.63438,0.7293,0.18474,0.00802,0.00802,0.00802
14,6993.9,0.8336,0.64813,0.17021,0.79071,0.71189,0.77852,0.35041,0.58296,0.64575,0.1705,0.007855,0.007855,0.007855
