                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9701,                 4.3843,                 1.6723,                0.63342,                0.03535,                0.04347,                0.02229,                  1.739,                 4.9789,                 1.5883,              0.0099977,              0.0099977,              0.0099977
                      2,                 2.0633,                 3.5004,                 1.7444,                0.82027,                0.16935,                0.18343,                 0.1021,                 1.5143,                 3.8121,                 1.4419,              0.0098763,              0.0098763,              0.0098763
                      3,                 1.8719,                 2.9335,                  1.615,                 0.4344,                0.35181,                0.32213,                0.15814,                 1.4402,                 3.6535,                 1.3818,              0.0098763,              0.0098763,              0.0098763
                      4,                 1.7753,                 2.6512,                 1.5536,                0.63781,                0.31634,                0.39597,                0.22855,                 1.3805,                 2.6886,                 1.3332,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.7327,                  2.482,                 1.5223,                 0.4076,                0.42885,                 0.4275,                0.24419,                 1.3336,                 2.8146,                  1.307,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.6945,                 2.6119,                 1.4986,                0.49566,                0.48846,                0.49676,                0.27062,                 1.3013,                 2.2861,                 1.2775,               0.009505,               0.009505,               0.009505
                      7,                 1.6721,                 2.2865,                 1.4807,                0.47008,                0.57821,                0.53482,                0.30107,                 1.2864,                 2.3811,                 1.2662,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.6408,                 2.1941,                 1.4632,                0.58185,                0.56171,                0.54905,                0.30956,                 1.2691,                 2.2656,                 1.2443,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.6357,                   2.15,                 1.4588,                0.53684,                0.60406,                 0.5803,                0.33635,                 1.2517,                 2.3453,                 1.2347,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.6138,                 2.0966,                 1.4418,                0.57562,                 0.6009,                0.59124,                0.35511,                 1.2353,                 2.3851,                 1.2241,                0.00901,                0.00901,                0.00901
                     11,                 1.6153,                 2.0603,                 1.4432,                0.72109,                0.52935,                0.60564,                0.36509,                 1.2147,                  2.303,                 1.2127,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.5935,                 1.9886,                 1.4338,                0.53664,                0.64092,                0.61828,                0.36996,                 1.2297,                 2.2799,                 1.2242,              0.0087625,              0.0087625,              0.0087625
                     13,                  1.585,                 1.9755,                 1.4261,                0.53088,                0.64888,                0.62591,                0.37541,                 1.2256,                 2.2305,                 1.2236,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.5656,                  1.936,                 1.4086,                0.52142,                  0.657,                 0.6275,                0.38168,                 1.2202,                 2.1895,                 1.2168,               0.008515,               0.008515,               0.008515
                     15,                 1.5667,                 1.9231,                 1.4072,                0.54394,                0.64832,                0.63236,                0.38091,                 1.2192,                 2.1639,                 1.2163,              0.0083913,              0.0083913,              0.0083913
                     16,                 1.5622,                 1.8841,                 1.4071,                0.55442,                0.64617,                 0.6352,                 0.3841,                 1.2154,                 2.1717,                 1.2126,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.5485,                 1.8617,                 1.3995,                0.54348,                0.66493,                0.63934,                0.38793,                 1.2097,                 2.1601,                 1.2097,              0.0081437,              0.0081437,              0.0081437
                     18,                 1.5445,                 1.8288,                  1.396,                0.55139,                 0.6621,                0.64162,                0.38941,                 1.2063,                 2.1573,                 1.2075,                0.00802,                0.00802,                0.00802
                     19,                 1.5362,                 1.7999,                 1.3865,                0.57851,                0.65811,                0.64487,                0.39405,                  1.203,                  2.136,                 1.2045,              0.0078963,              0.0078963,              0.0078963
                     20,                 1.5216,                 1.7856,                 1.3814,                0.62389,                0.63835,                0.64973,                0.39783,                 1.2007,                 2.1374,                 1.2019,              0.0077725,              0.0077725,              0.0077725
                     21,                 1.5112,                 1.7494,                 1.3803,                0.62622,                0.63685,                0.65193,                0.40112,                 1.1985,                 2.1267,                 1.2007,              0.0076488,              0.0076488,              0.0076488
                     22,                 1.5121,                 1.7399,                 1.3759,                0.58813,                0.65604,                0.65452,                0.40136,                 1.1978,                 2.1142,                 1.1991,               0.007525,               0.007525,               0.007525
                     23,                 1.4985,                 1.7156,                 1.3659,                0.58137,                0.65509,                 0.6574,                0.40308,                 1.1973,                 2.1117,                 1.1989,              0.0074013,              0.0074013,              0.0074013
                     24,                 1.5035,                 1.7001,                 1.3699,                0.57145,                0.66767,                0.66185,                  0.405,                 1.1961,                 2.0976,                 1.1983,              0.0072775,              0.0072775,              0.0072775
                     25,                 1.4932,                 1.6649,                 1.3658,                0.56537,                0.66249,                0.66835,                0.40764,                 1.1952,                 2.0866,                 1.1977,              0.0071538,              0.0071538,              0.0071538
                     26,                 1.4643,                 1.6599,                 1.3472,                0.60032,                0.66348,                0.67111,                0.40849,                  1.194,                 2.0629,                 1.1961,                0.00703,                0.00703,                0.00703
                     27,                 1.4814,                 1.6691,                 1.3557,                0.64079,                0.65434,                 0.6707,                0.40999,                 1.1927,                 2.0495,                 1.1948,              0.0069063,              0.0069063,              0.0069063
                     28,                 1.4809,                 1.6619,                 1.3539,                0.59433,                0.65979,                 0.6723,                 0.4113,                 1.1916,                 2.0338,                 1.1942,              0.0067825,              0.0067825,              0.0067825
                     29,                 1.4782,                 1.6538,                 1.3535,                0.63032,                0.65287,                0.67371,                0.41412,                 1.1899,                 2.0148,                 1.1936,              0.0066587,              0.0066587,              0.0066587
                     30,                 1.4743,                 1.6269,                 1.3525,                0.60313,                0.66125,                0.67805,                0.41613,                 1.1895,                 1.9962,                  1.193,               0.006535,               0.006535,               0.006535
                     31,                 1.4656,                 1.6091,                 1.3437,                0.57597,                0.67425,                0.67922,                0.41848,                 1.1872,                 1.9898,                 1.1913,              0.0064112,              0.0064112,              0.0064112
                     32,                 1.4647,                 1.6183,                 1.3424,                0.66124,                0.64077,                0.68186,                0.42063,                 1.1832,                 1.9778,                 1.1877,              0.0062875,              0.0062875,              0.0062875
                     33,                 1.4528,                 1.5722,                 1.3407,                0.58527,                0.66744,                0.68577,                0.42661,                 1.1795,                 1.9555,                 1.1844,              0.0061637,              0.0061637,              0.0061637
                     34,                 1.4548,                  1.574,                 1.3379,                0.60021,                0.66739,                0.68886,                0.42873,                 1.1774,                 1.9331,                 1.1825,                0.00604,                0.00604,                0.00604
                     35,                 1.4456,                 1.5702,                 1.3312,                0.62369,                0.66732,                0.69525,                0.43241,                 1.1764,                 1.9131,                 1.1807,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.4524,                 1.5554,                 1.3339,                0.56171,                0.71125,                0.69912,                 0.4343,                  1.173,                 1.8876,                 1.1779,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.4398,                 1.5261,                 1.3326,                0.54984,                0.71386,                0.69886,                0.43726,                 1.1717,                 1.8609,                 1.1771,              0.0056688,              0.0056688,              0.0056688
                     38,                 1.4418,                 1.5329,                 1.3273,                0.57158,                0.71313,                0.70276,                0.44307,                 1.1683,                 1.8361,                 1.1743,               0.005545,               0.005545,               0.005545
                     39,                 1.4271,                 1.4881,                 1.3171,                0.57592,                0.71527,                 0.7069,                0.44704,                 1.1679,                 1.8128,                 1.1722,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.3814,                 1.4394,                  1.296,                 0.5624,                0.71683,                0.70546,                0.44612,                 1.1658,                 1.7991,                 1.1711,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.3953,                 1.4449,                 1.3014,                0.57865,                0.71704,                0.70644,                0.44699,                 1.1644,                 1.7906,                 1.1702,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.3976,                 1.4391,                 1.3018,                0.57779,                0.71989,                0.70724,                0.44816,                 1.1628,                 1.7818,                 1.1696,                0.00505,                0.00505,                0.00505
                     43,                 1.3942,                 1.4485,                  1.303,                0.58996,                0.71987,                0.71406,                0.45195,                 1.1615,                 1.7721,                 1.1695,              0.0049263,              0.0049263,              0.0049263
                     44,                  1.393,                  1.426,                 1.3002,                0.58894,                0.72943,                0.71507,                0.45451,                 1.1611,                 1.7669,                 1.1697,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.3843,                 1.4105,                 1.2945,                0.59189,                0.73134,                0.71682,                0.45599,                 1.1595,                 1.7642,                 1.1692,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.3833,                  1.419,                 1.2912,                0.59776,                0.73544,                 0.7196,                0.45791,                  1.159,                 1.7536,                 1.1688,               0.004555,               0.004555,               0.004555
                     47,                 1.3715,                 1.3838,                 1.2907,                0.60686,                0.73676,                0.72206,                0.45832,                 1.1558,                 1.7352,                 1.1666,              0.0044313,              0.0044313,              0.0044313
                     48,                 1.3752,                 1.3883,                 1.2893,                0.61259,                0.73948,                0.72544,                0.46125,                 1.1562,                 1.7161,                 1.1664,              0.0043075,              0.0043075,              0.0043075
                     49,                 1.3044,                 1.2724,                  1.252,                 0.6076,                0.74393,                0.72603,                0.46161,                  1.154,                 1.7145,                 1.1663,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.3174,                  1.279,                 1.2565,                0.60657,                0.74782,                0.72862,                0.46188,                 1.1535,                 1.7145,                 1.1664,                0.00406,                0.00406,                0.00406
                     51,                  1.326,                 1.2816,                 1.2595,                0.61718,                0.74539,                0.73128,                0.46564,                 1.1531,                  1.715,                  1.167,              0.0039362,              0.0039362,              0.0039362
                     52,                 1.3283,                 1.2949,                 1.2649,                0.63161,                0.74141,                0.73295,                0.46858,                 1.1522,                 1.7062,                 1.1665,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.3297,                 1.2812,                 1.2639,                0.63495,                0.74447,                0.73323,                0.46938,                 1.1521,                 1.7027,                 1.1672,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.3263,                 1.2816,                 1.2593,                0.64194,                0.74902,                0.73482,                0.46966,                 1.1498,                 1.6949,                 1.1655,               0.003565,               0.003565,               0.003565
                     55,                 1.3273,                 1.2906,                 1.2579,                0.63585,                 0.7466,                0.73634,                0.47026,                 1.1477,                 1.6806,                  1.164,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.3204,                 1.2729,                 1.2573,                0.64745,                 0.7472,                0.74034,                0.46947,                 1.1452,                   1.66,                 1.1602,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.3284,                 1.2786,                 1.2591,                 0.6571,                0.74467,                0.74409,                0.47426,                 1.1439,                 1.6359,                  1.158,              0.0031938,              0.0031938,              0.0031938
                     58,                 1.3202,                 1.2778,                 1.2557,                 0.6588,                0.75167,                0.74477,                 0.4762,                 1.1446,                 1.6188,                 1.1583,                0.00307,                0.00307,                0.00307
                     59,                 1.3245,                  1.264,                 1.2586,                0.66962,                0.73984,                  0.752,                0.47973,                 1.1424,                 1.5952,                 1.1569,              0.0029462,              0.0029462,              0.0029462
                     60,                 1.3133,                 1.2464,                 1.2556,                0.67276,                0.73532,                0.75365,                0.48095,                 1.1406,                 1.5758,                 1.1557,              0.0028225,              0.0028225,              0.0028225
                     61,                 1.3175,                 1.2505,                 1.2543,                 0.6713,                0.73408,                0.75366,                0.48544,                  1.139,                 1.5613,                 1.1556,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.3011,                 1.2121,                 1.2427,                0.68371,                0.73031,                0.75548,                0.48561,                 1.1375,                 1.5455,                 1.1557,               0.002575,               0.002575,               0.002575
                     63,                 1.2923,                 1.2133,                   1.24,                0.69873,                0.72267,                0.75541,                0.48789,                 1.1355,                 1.5294,                  1.154,              0.0024513,              0.0024513,              0.0024513
                     64,                 1.2877,                 1.1969,                 1.2336,                 0.7115,                0.71907,                0.75808,                0.49044,                 1.1357,                 1.5054,                  1.154,              0.0023275,              0.0023275,              0.0023275
                     65,                 1.2813,                 1.1919,                  1.231,                0.71883,                0.71492,                 0.7607,                0.49274,                 1.1337,                 1.4831,                 1.1525,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.1885,                 1.0455,                 1.1872,                 0.6925,                0.73264,                0.76136,                0.49472,                  1.132,                 1.4905,                 1.1538,                0.00208,                0.00208,                0.00208
                     67,                  1.192,                 1.0313,                 1.1867,                0.69097,                0.73792,                0.76212,                 0.4936,                 1.1322,                 1.5007,                 1.1551,              0.0019563,              0.0019563,              0.0019563
                     68,                 1.1914,                 1.0225,                 1.1843,                0.69522,                0.73767,                0.76195,                0.49535,                  1.132,                 1.5114,                 1.1569,              0.0018325,              0.0018325,              0.0018325
                     69,                 1.1852,                 1.0249,                  1.182,                0.70285,                0.74269,                0.76296,                0.49487,                  1.132,                 1.5177,                 1.1579,              0.0017087,              0.0017087,              0.0017087
                     70,                 1.1835,                 1.0077,                 1.1828,                0.70273,                0.74242,                0.76313,                 0.4954,                 1.1316,                 1.5265,                 1.1596,               0.001585,               0.001585,               0.001585
                     71,                 1.1658,                0.92173,                  1.183,                0.70642,                0.73583,                 0.7631,                0.49689,                 1.1323,                  1.521,                  1.161,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.1497,                0.89584,                  1.172,                0.73165,                0.72195,                0.76625,                0.50025,                 1.1319,                 1.5096,                 1.1626,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.1268,                0.86711,                 1.1607,                0.72912,                0.73573,                0.76766,                0.50287,                 1.1321,                 1.5006,                 1.1646,              0.0012138,              0.0012138,              0.0012138
                     74,                 1.1231,                0.86782,                 1.1567,                0.72375,                0.73469,                  0.769,                0.50698,                 1.1324,                 1.4949,                 1.1669,                0.00109,                0.00109,                0.00109
                     75,                 1.1038,                0.83137,                 1.1431,                0.73012,                0.73267,                0.77647,                0.50753,                 1.1334,                 1.4859,                 1.1683,             0.00096625,             0.00096625,             0.00096625
                     76,                 1.0886,                0.80634,                 1.1382,                0.72502,                0.72955,                0.77468,                0.50796,                 1.1364,                 1.4819,                 1.1712,              0.0008425,              0.0008425,              0.0008425
                     77,                  1.081,                0.80471,                 1.1372,                0.73095,                0.72522,                 0.7752,                0.50702,                 1.1356,                 1.4765,                 1.1722,             0.00071875,             0.00071875,             0.00071875
                     78,                 1.0599,                0.77993,                 1.1213,                0.74074,                0.71403,                0.77391,                0.50665,                 1.1366,                 1.4703,                  1.174,               0.000595,               0.000595,               0.000595
                     79,                 1.0491,                0.76913,                  1.118,                0.75254,                0.70879,                0.77465,                0.50666,                 1.1379,                 1.4655,                 1.1752,             0.00047125,             0.00047125,             0.00047125
                     80,                 1.0325,                0.73882,                 1.1085,                0.77707,                0.70078,                0.77672,                 0.5101,                  1.142,                 1.4588,                 1.1797,              0.0003475,              0.0003475,              0.0003475
