                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1836,                 8.0741,                 2.8403,                0.33967,                0.24781,                0.19542,                0.09702,                 1.7241,                 3.9719,                 2.2604,              0.0049975,              0.0049975,              0.0049975
                      2,                 1.8041,                 3.2385,                  2.208,                 0.2501,                0.17123,                0.08081,                0.03341,                 1.7364,                 10.397,                 2.3022,              0.0098176,              0.0098176,              0.0098176
                      3,                 1.7979,                 3.1665,                 2.1723,                 0.4847,                 0.3199,                0.29181,                0.14886,                  1.588,                 3.6835,                 2.0913,                0.00964,                0.00964,                0.00964
                      4,                 1.6748,                 2.7126,                 2.0387,                0.49324,                0.35291,                0.33567,                0.18319,                 1.5214,                 3.5567,                 2.0048,                0.00964,                0.00964,                0.00964
                      5,                  1.615,                 2.4449,                 1.9676,                0.52936,                0.49829,                0.46808,                0.27806,                  1.464,                 2.5101,                 1.9518,                0.00946,                0.00946,                0.00946
                      6,                 1.5746,                 2.3205,                 1.9353,                0.67723,                0.43877,                0.52548,                0.31788,                 1.4308,                 2.5577,                 1.9185,                0.00928,                0.00928,                0.00928
                      7,                 1.5532,                 2.1908,                 1.9069,                0.52307,                0.55914,                0.51242,                0.31623,                  1.425,                 2.3538,                 1.8901,                 0.0091,                 0.0091,                 0.0091
                      8,                 1.5278,                 2.0758,                  1.884,                0.56266,                0.58946,                0.57718,                0.37286,                 1.3782,                 2.2531,                 1.8502,                0.00892,                0.00892,                0.00892
                      9,                  1.513,                  2.003,                 1.8599,                0.60407,                0.56876,                0.59977,                 0.3999,                 1.3613,                 2.1612,                 1.8312,                0.00874,                0.00874,                0.00874
                     10,                 1.4956,                 1.9126,                 1.8497,                0.61567,                0.60166,                0.62968,                0.42509,                 1.3321,                 2.0324,                 1.7865,                0.00856,                0.00856,                0.00856
                     11,                 1.4808,                 1.8429,                 1.8278,                0.63175,                0.63115,                0.65595,                0.44145,                 1.3273,                 1.9553,                 1.7997,                0.00838,                0.00838,                0.00838
                     12,                 1.4748,                 1.8079,                  1.817,                0.63192,                0.65095,                0.66362,                0.45294,                  1.352,                 2.0081,                 1.8137,                 0.0082,                 0.0082,                 0.0082
                     13,                 1.4553,                 1.7575,                 1.7994,                0.68524,                0.62634,                0.67873,                0.46446,                 1.3335,                 1.9247,                 1.7902,                0.00802,                0.00802,                0.00802
                     14,                 1.4515,                  1.713,                 1.7976,                0.65344,                0.64318,                0.67932,                0.46622,                 1.3203,                 1.8651,                 1.7824,                0.00784,                0.00784,                0.00784
                     15,                 1.4311,                 1.6579,                 1.7802,                0.66202,                0.65784,                0.68572,                0.46905,                 1.3193,                 1.8667,                 1.7825,                0.00766,                0.00766,                0.00766
                     16,                  1.426,                 1.6384,                 1.7665,                0.65207,                 0.6589,                 0.6949,                0.47281,                  1.315,                 1.8596,                 1.7775,                0.00748,                0.00748,                0.00748
                     17,                 1.4125,                 1.5919,                 1.7489,                0.63852,                0.67771,                0.69973,                 0.4757,                 1.3093,                 1.8497,                 1.7714,                 0.0073,                 0.0073,                 0.0073
                     18,                 1.4095,                 1.5711,                  1.749,                0.64774,                0.67263,                0.70054,                0.47657,                  1.309,                 1.8505,                 1.7727,                0.00712,                0.00712,                0.00712
                     19,                 1.3933,                 1.5306,                 1.7407,                0.66063,                0.68052,                0.70302,                0.48119,                  1.306,                 1.8487,                 1.7701,                0.00694,                0.00694,                0.00694
                     20,                   1.38,                 1.5005,                 1.7291,                 0.6704,                0.68462,                0.70385,                0.48163,                 1.3026,                 1.8389,                 1.7676,                0.00676,                0.00676,                0.00676
                     21,                 1.3768,                 1.4752,                 1.7154,                0.67976,                0.68378,                 0.7053,                0.48473,                 1.2973,                 1.8147,                 1.7626,                0.00658,                0.00658,                0.00658
                     22,                 1.3704,                 1.4518,                 1.7143,                0.67435,                0.69268,                0.70798,                0.49095,                 1.2988,                 1.7961,                 1.7633,                 0.0064,                 0.0064,                 0.0064
                     23,                 1.3599,                 1.4385,                 1.7039,                0.67372,                0.68119,                0.71062,                0.48925,                 1.2977,                 1.7824,                  1.761,                0.00622,                0.00622,                0.00622
                     24,                 1.3434,                  1.405,                 1.6898,                0.69005,                0.66656,                0.71063,                0.49176,                 1.2963,                 1.7711,                 1.7589,                0.00604,                0.00604,                0.00604
                     25,                 1.3411,                  1.384,                  1.688,                0.68231,                0.68455,                0.71293,                0.49417,                 1.2961,                 1.7551,                 1.7576,                0.00586,                0.00586,                0.00586
                     26,                 1.3361,                 1.3671,                 1.6875,                 0.6898,                0.67496,                0.71599,                0.49696,                 1.2959,                 1.7383,                 1.7582,                0.00568,                0.00568,                0.00568
                     27,                 1.3167,                 1.3121,                 1.6648,                0.67731,                0.70267,                0.72016,                0.49945,                 1.2945,                 1.7241,                 1.7557,                 0.0055,                 0.0055,                 0.0055
                     28,                 1.3093,                 1.3164,                 1.6569,                 0.6757,                0.70133,                0.72298,                0.50239,                 1.2937,                 1.7103,                 1.7554,                0.00532,                0.00532,                0.00532
                     29,                 1.3025,                 1.3022,                  1.647,                0.67839,                0.70571,                0.72357,                0.50549,                 1.2935,                 1.6966,                 1.7545,                0.00514,                0.00514,                0.00514
                     30,                 1.2825,                 1.2615,                 1.6298,                0.68611,                0.70733,                0.72628,                0.51031,                 1.2929,                 1.6778,                 1.7534,                0.00496,                0.00496,                0.00496
                     31,                 1.2799,                 1.2453,                 1.6305,                0.69096,                0.70666,                0.73044,                0.51247,                 1.2898,                  1.656,                 1.7509,                0.00478,                0.00478,                0.00478
                     32,                 1.2678,                 1.2234,                 1.6146,                0.68805,                0.70043,                0.73362,                0.51489,                 1.2897,                 1.6362,                 1.7498,                 0.0046,                 0.0046,                 0.0046
                     33,                 1.2641,                 1.2092,                 1.6124,                0.69492,                0.69805,                0.73638,                0.51708,                 1.2897,                 1.6193,                 1.7494,                0.00442,                0.00442,                0.00442
                     34,                 1.2372,                 1.1634,                   1.59,                0.69762,                0.69646,                 0.7382,                0.51929,                 1.2894,                 1.6029,                 1.7483,                0.00424,                0.00424,                0.00424
                     35,                 1.2371,                   1.16,                 1.5861,                0.71512,                0.68236,                0.73563,                0.51882,                 1.2886,                 1.5918,                 1.7473,                0.00406,                0.00406,                0.00406
                     36,                 1.2193,                 1.1518,                 1.5802,                0.72154,                0.68021,                0.73538,                 0.5184,                  1.288,                 1.5802,                 1.7458,                0.00388,                0.00388,                0.00388
                     37,                 1.2101,                 1.1218,                 1.5709,                0.72614,                0.68334,                0.73748,                0.51878,                 1.2873,                   1.57,                 1.7452,                 0.0037,                 0.0037,                 0.0037
                     38,                 1.1901,                 1.1003,                 1.5569,                0.70676,                0.69289,                0.73774,                0.51834,                   1.29,                 1.5589,                 1.7483,                0.00352,                0.00352,                0.00352
                     39,                 1.1893,                 1.0816,                 1.5455,                0.71374,                0.68772,                0.74028,                0.52008,                 1.2884,                 1.5471,                 1.7465,                0.00334,                0.00334,                0.00334
                     40,                 1.1715,                 1.0568,                 1.5329,                0.70096,                0.69984,                0.74093,                 0.5201,                 1.2879,                 1.5418,                 1.7467,                0.00316,                0.00316,                0.00316
                     41,                 1.1578,                 1.0326,                 1.5187,                0.73272,                0.66738,                0.74243,                0.52186,                 1.2854,                 1.5406,                 1.7454,                0.00298,                0.00298,                0.00298
                     42,                 1.1384,                 1.0118,                 1.5048,                0.69938,                0.70445,                0.74316,                0.52303,                 1.2846,                 1.5348,                  1.744,                 0.0028,                 0.0028,                 0.0028
                     43,                 1.1389,                 1.0033,                 1.4985,                0.70603,                0.70734,                0.74402,                0.52284,                 1.2819,                 1.5337,                 1.7417,                0.00262,                0.00262,                0.00262
                     44,                 1.1231,                0.97663,                 1.4844,                0.71781,                0.69786,                0.74701,                0.52542,                 1.2836,                 1.5308,                 1.7431,                0.00244,                0.00244,                0.00244
                     45,                 1.0926,                0.93757,                 1.4654,                 0.7158,                0.69959,                0.74722,                0.52593,                 1.2822,                 1.5333,                 1.7417,                0.00226,                0.00226,                0.00226
                     46,                 1.0217,                0.72419,                 1.4527,                0.70856,                0.70891,                0.74739,                0.52567,                 1.2818,                 1.5346,                 1.7409,                0.00208,                0.00208,                0.00208
                     47,                0.99994,                0.69974,                 1.4258,                0.71196,                0.70315,                0.74793,                0.52493,                 1.2823,                 1.5447,                 1.7425,                 0.0019,                 0.0019,                 0.0019
                     48,                0.97881,                0.68107,                 1.3973,                0.72345,                0.69893,                0.74695,                0.52497,                 1.2825,                  1.554,                 1.7427,                0.00172,                0.00172,                0.00172
                     49,                0.96475,                0.65689,                 1.3893,                 0.7451,                0.68703,                0.74858,                0.52514,                 1.2812,                 1.5595,                 1.7439,                0.00154,                0.00154,                0.00154
                     50,                0.94279,                0.63105,                 1.3672,                0.74536,                0.68938,                 0.7486,                0.52752,                 1.2808,                 1.5679,                 1.7448,                0.00136,                0.00136,                0.00136
                     51,                0.91768,                0.60481,                 1.3521,                0.74338,                 0.6858,                0.74722,                0.52702,                 1.2846,                 1.5804,                 1.7501,                0.00118,                0.00118,                0.00118
                     52,                0.89671,                0.58741,                 1.3351,                 0.7464,                 0.6835,                0.74784,                0.52675,                 1.2866,                 1.5918,                  1.754,                  0.001,                  0.001,                  0.001
                     53,                 0.8794,                0.57371,                 1.3173,                0.74413,                0.68004,                0.74852,                 0.5301,                 1.2892,                 1.5987,                 1.7592,                0.00082,                0.00082,                0.00082
                     54,                0.85417,                0.55425,                 1.2903,                0.74305,                0.68113,                0.74924,                 0.5304,                 1.2906,                 1.6111,                 1.7646,                0.00064,                0.00064,                0.00064
                     55,                 0.8393,                0.54004,                 1.2815,                0.73631,                 0.6826,                0.75011,                0.53168,                 1.2916,                 1.6109,                 1.7686,                0.00046,                0.00046,                0.00046
