                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8414,                 3.4306,                 1.6575,                0.84303,                0.15578,                0.18136,                0.10389,                 1.3988,                 7.7468,                 1.3847,              0.0099982,              0.0099982,              0.0099982
                      2,                 1.8086,                 2.8056,                 1.6609,                0.37175,                0.45648,                0.38611,                0.21057,                 1.2697,                 3.4899,                 1.3226,               0.009835,               0.009835,               0.009835
                      3,                 1.6348,                 2.2553,                  1.541,                0.62353,                0.45546,                 0.4885,                0.28324,                 1.1839,                 3.4626,                 1.2419,               0.009835,               0.009835,               0.009835
                      4,                 1.5586,                 1.9934,                 1.4866,                0.67436,                0.50902,                0.55846,                0.33023,                 1.1594,                 2.6802,                 1.2162,                0.00967,                0.00967,                0.00967
                      5,                 1.5171,                 1.8772,                 1.4623,                0.54691,                0.59723,                0.57939,                0.36385,                 1.1111,                 2.3169,                 1.2022,               0.009505,               0.009505,               0.009505
                      6,                 1.4782,                 1.7229,                 1.4302,                  0.582,                0.64079,                0.64183,                 0.4093,                 1.1494,                 2.4013,                 1.2044,                0.00934,                0.00934,                0.00934
                      7,                 1.4499,                 1.6461,                 1.4167,                0.60804,                0.65856,                0.67028,                0.43549,                 1.0781,                 2.0698,                 1.1751,               0.009175,               0.009175,               0.009175
                      8,                 1.4269,                 1.5655,                 1.4026,                0.68834,                0.64993,                0.68433,                0.44805,                 1.0626,                 1.9621,                 1.1649,                0.00901,                0.00901,                0.00901
                      9,                 1.4062,                 1.5274,                 1.3835,                0.65411,                0.66862,                0.70567,                0.47033,                 1.0535,                 1.8768,                 1.1596,               0.008845,               0.008845,               0.008845
                     10,                 1.3894,                 1.4699,                 1.3748,                0.71594,                 0.6524,                0.71411,                0.47878,                  1.042,                 1.8689,                 1.1474,                0.00868,                0.00868,                0.00868
                     11,                 1.3693,                 1.4127,                 1.3592,                0.65178,                0.69811,                0.72559,                0.49004,                 1.0246,                 1.8472,                 1.1368,               0.008515,               0.008515,               0.008515
                     12,                 1.3639,                 1.3813,                 1.3604,                 0.6746,                0.70905,                0.72924,                0.49694,                 1.0208,                 1.8142,                 1.1347,                0.00835,                0.00835,                0.00835
                     13,                 1.3527,                 1.3557,                 1.3495,                0.67396,                 0.7021,                0.73355,                0.49973,                 1.0114,                 1.8213,                 1.1292,               0.008185,               0.008185,               0.008185
                     14,                 1.3281,                 1.3224,                 1.3339,                0.70731,                0.70029,                0.73937,                0.50615,                 1.0061,                 1.8131,                 1.1267,                0.00802,                0.00802,                0.00802
