                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0903,                 4.6822,                 1.6737,                0.76983,                0.11836,                0.10544,                0.05388,                 2.1283,                 3.3347,                 1.8526,              0.0099916,              0.0099916,              0.0099916
                      2,                 2.2951,                 3.8059,                 1.8368,                0.60452,                0.13631,                0.11021,                0.05483,                 1.9636,                 2.9859,                 1.6994,              0.0098763,              0.0098763,              0.0098763
                      3,                 2.1086,                 3.3948,                 1.7065,                0.35695,                0.25471,                0.16829,                0.07684,                 1.9706,                 2.7346,                 1.6629,              0.0098763,              0.0098763,              0.0098763
                      4,                 1.9635,                 3.0233,                 1.6223,                0.60148,                0.29513,                0.32265,                0.18342,                 1.8817,                 2.3424,                 1.6449,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.8833,                 2.7454,                 1.5744,                0.67032,                0.33874,                0.41175,                0.21004,                 1.7132,                 2.1888,                 1.5587,              0.0096288,              0.0096288,              0.0096288
                      6,                 1.8392,                 2.5947,                 1.5429,                0.44936,                0.43706,                0.42411,                0.22093,                 1.8205,                 2.0792,                 1.5996,               0.009505,               0.009505,               0.009505
                      7,                 1.8075,                 2.4659,                 1.5355,                0.52349,                0.48714,                0.43318,                0.21853,                  1.677,                 1.9739,                 1.5057,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.7813,                 2.3661,                 1.5275,                0.62803,                0.45673,                0.51441,                0.28528,                 1.6899,                 1.8805,                 1.5182,              0.0092575,              0.0092575,              0.0092575
                      9,                   1.74,                 2.3158,                 1.5021,                0.54817,                0.51206,                0.51213,                0.30171,                 1.6711,                 1.8852,                 1.4983,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.7208,                 2.1861,                 1.4823,                0.55112,                0.57516,                0.55114,                0.30076,                 1.6546,                 1.7143,                 1.4828,                0.00901,                0.00901,                0.00901
                     11,                 1.6839,                 2.1475,                 1.4521,                0.65399,                0.52516,                0.58568,                0.33773,                  1.641,                 1.6808,                 1.4653,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.6707,                 2.0729,                 1.4526,                0.65327,                0.53929,                0.60067,                 0.3237,                 1.6646,                 1.6947,                 1.4675,              0.0087625,              0.0087625,              0.0087625
                     13,                 1.6612,                 2.0004,                 1.4402,                0.59838,                0.53393,                0.55598,                0.32662,                 1.6873,                  1.892,                 1.4662,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.6473,                 1.9892,                 1.4333,                0.62007,                0.51745,                0.57628,                0.32587,                 1.6824,                 1.8545,                 1.4652,               0.008515,               0.008515,               0.008515
                     15,                  1.626,                 1.9428,                 1.4188,                0.64159,                 0.5943,                0.63034,                0.37147,                 1.5654,                 1.5321,                 1.4175,              0.0083913,              0.0083913,              0.0083913
                     16,                 1.6093,                 1.8961,                 1.4202,                 0.6982,                0.60745,                0.68351,                0.39958,                  1.565,                 1.4779,                 1.4334,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.6031,                 1.8507,                 1.4186,                0.68727,                0.63225,                0.68405,                0.40411,                 1.5658,                 1.4373,                 1.4277,              0.0081437,              0.0081437,              0.0081437
                     18,                 1.5904,                 1.8293,                 1.3959,                0.68927,                0.61755,                0.66981,                0.39114,                 1.5501,                 1.4651,                 1.4193,                0.00802,                0.00802,                0.00802
                     19,                 1.5878,                  1.796,                 1.4083,                0.79131,                0.61353,                0.70738,                0.41778,                 1.5739,                 1.4443,                 1.4292,              0.0078963,              0.0078963,              0.0078963
