                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0513,                 4.5541,                 1.6408,                0.72505,                0.12487,                0.07329,                 0.0313,                 2.2303,                 3.6037,                 1.9397,              0.0099916,              0.0099916,              0.0099916
                      2,                 2.3056,                 3.8065,                 1.8014,                0.49405,                0.17187,                0.11956,                0.05835,                 1.9556,                 2.9125,                 1.6688,              0.0098763,              0.0098763,              0.0098763
                      3,                 2.0802,                 3.2815,                 1.6669,                0.61591,                0.22151,                0.22827,                0.12171,                 1.8627,                 2.6181,                 1.6119,              0.0098763,              0.0098763,              0.0098763
                      4,                 1.9811,                 3.0054,                 1.5871,                0.58405,                0.29465,                0.32359,                0.16569,                 1.7907,                 2.2698,                 1.5393,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.9181,                 2.8199,                 1.5625,                0.53677,                0.36681,                0.35928,                0.18664,                 1.7335,                 2.3827,                 1.4866,              0.0096288,              0.0096288,              0.0096288
                      6,                  1.852,                 2.6329,                 1.5287,                0.66978,                0.38277,                0.42034,                0.21752,                 1.7514,                 2.0682,                 1.5192,               0.009505,               0.009505,               0.009505
                      7,                 1.8029,                 2.5027,                  1.488,                0.63566,                0.45423,                0.47188,                0.24755,                 1.7297,                 1.9559,                 1.4947,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.7759,                 2.3944,                  1.479,                0.66603,                0.44565,                0.49988,                0.28044,                  1.668,                  1.926,                 1.4666,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.7345,                 2.2792,                 1.4643,                0.59019,                 0.4863,                0.53527,                0.31701,                 1.6613,                 1.8194,                 1.4908,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.7095,                 2.2304,                 1.4496,                0.66584,                0.50181,                0.59934,                0.32867,                 1.6464,                 1.6821,                 1.4541,                0.00901,                0.00901,                0.00901
                     11,                 1.6973,                 2.1575,                 1.4434,                0.56152,                0.58095,                0.57407,                0.28858,                 1.6873,                 1.6683,                 1.4805,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.6607,                 2.0461,                 1.4089,                0.61666,                0.52013,                0.56988,                0.34009,                 1.6143,                 1.7027,                 1.4441,              0.0087625,              0.0087625,              0.0087625
                     13,                 1.6645,                 2.0297,                 1.4155,                 0.6297,                 0.5482,                0.60371,                0.35316,                 1.5908,                 1.6072,                 1.4168,              0.0086388,              0.0086388,              0.0086388
                     14,                 1.6292,                 1.9709,                 1.3878,                0.62252,                  0.593,                0.64969,                 0.3672,                 1.5737,                 1.5701,                 1.4137,               0.008515,               0.008515,               0.008515
                     15,                 1.6439,                 1.9687,                  1.398,                0.71616,                0.59169,                0.66131,                0.38764,                 1.5909,                 1.4994,                  1.412,              0.0083913,              0.0083913,              0.0083913
                     16,                 1.6043,                 1.8766,                 1.3779,                0.69793,                0.61582,                0.68947,                 0.4017,                 1.6034,                 1.5234,                 1.4059,              0.0082675,              0.0082675,              0.0082675
                     17,                 1.6091,                 1.8752,                 1.3781,                0.68496,                 0.6555,                0.68339,                 0.3987,                 1.5457,                 1.4217,                 1.3841,              0.0081437,              0.0081437,              0.0081437
                     18,                 1.6072,                 1.8329,                 1.3865,                0.69786,                0.61398,                0.67613,                 0.3993,                 1.5689,                 1.4539,                 1.3915,                0.00802,                0.00802,                0.00802
                     19,                 1.5781,                  1.778,                 1.3647,                0.70405,                0.64129,                0.70355,                0.41694,                 1.5228,                 1.3876,                 1.3911,              0.0078963,              0.0078963,              0.0078963
                     20,                 1.5808,                 1.7682,                   1.36,                0.72003,                0.66474,                 0.7232,                0.42624,                 1.5194,                 1.3158,                 1.3875,              0.0077725,              0.0077725,              0.0077725
                     21,                 1.5618,                 1.7238,                 1.3537,                0.71369,                0.68534,                0.72786,                0.44503,                 1.5073,                 1.3029,                 1.3652,              0.0076488,              0.0076488,              0.0076488
                     22,                 1.5395,                 1.6844,                 1.3406,                 0.7258,                0.68047,                 0.7239,                0.43984,                 1.5383,                  1.326,                 1.3786,               0.007525,               0.007525,               0.007525
                     23,                   1.54,                 1.6746,                 1.3537,                0.76267,                0.66391,                0.73991,                0.46242,                 1.5035,                 1.2554,                 1.3631,              0.0074013,              0.0074013,              0.0074013
                     24,                 1.5431,                 1.6174,                 1.3387,                  0.746,                0.68485,                0.74579,                0.45952,                 1.4928,                 1.2496,                 1.3505,              0.0072775,              0.0072775,              0.0072775
                     25,                 1.5369,                 1.5999,                 1.3346,                0.73916,                0.68338,                0.74682,                0.46016,                 1.5464,                 1.2801,                 1.3717,              0.0071538,              0.0071538,              0.0071538
                     26,                 1.5221,                 1.6083,                 1.3238,                0.73753,                0.68854,                0.76183,                0.45718,                 1.5078,                 1.2344,                 1.3463,                0.00703,                0.00703,                0.00703
                     27,                 1.5074,                 1.5487,                 1.3164,                0.76025,                0.69693,                0.76728,                0.47221,                 1.5063,                 1.2073,                 1.3594,              0.0069063,              0.0069063,              0.0069063
                     28,                 1.5098,                 1.5338,                 1.3215,                0.80461,                0.68811,                0.77935,                0.47783,                 1.4755,                 1.1595,                 1.3458,              0.0067825,              0.0067825,              0.0067825
                     29,                 1.4845,                 1.5268,                  1.311,                0.76629,                0.71979,                0.77169,                0.47861,                 1.4549,                 1.1493,                 1.3358,              0.0066587,              0.0066587,              0.0066587
                     30,                 1.4993,                 1.5017,                 1.3146,                0.72156,                0.74208,                0.77777,                0.48363,                  1.477,                 1.1521,                 1.3439,               0.006535,               0.006535,               0.006535
                     31,                 1.4759,                 1.5119,                 1.2975,                  0.741,                 0.7381,                0.77913,                0.50281,                 1.4614,                 1.1369,                 1.3293,              0.0064112,              0.0064112,              0.0064112
                     32,                  1.462,                 1.4692,                 1.2981,                0.76197,                0.72207,                0.78859,                0.49872,                 1.4543,                 1.1309,                 1.3335,              0.0062875,              0.0062875,              0.0062875
                     33,                 1.4695,                 1.4806,                 1.2984,                0.81678,                0.72074,                0.80654,                0.50929,                 1.4475,                 1.1085,                 1.3233,              0.0061637,              0.0061637,              0.0061637
                     34,                  1.455,                  1.445,                 1.2856,                0.81788,                0.72616,                0.81589,                0.51792,                 1.4259,                 1.0991,                 1.3161,                0.00604,                0.00604,                0.00604
                     35,                 1.4596,                 1.4224,                 1.2985,                0.80757,                0.73178,                 0.8112,                0.51769,                 1.4345,                 1.0856,                 1.3183,              0.0059163,              0.0059163,              0.0059163
                     36,                 1.4515,                 1.4099,                 1.2951,                0.79929,                0.74769,                0.80985,                0.51585,                 1.4342,                 1.0977,                 1.3178,              0.0057925,              0.0057925,              0.0057925
                     37,                 1.4356,                  1.403,                 1.2828,                 0.7956,                0.75222,                0.81383,                0.52285,                 1.4391,                 1.0972,                 1.3237,              0.0056688,              0.0056688,              0.0056688
                     38,                 1.4317,                 1.3868,                 1.2885,                0.79903,                0.76442,                0.81886,                 0.5291,                 1.4398,                 1.0868,                 1.3245,               0.005545,               0.005545,               0.005545
                     39,                 1.4091,                 1.3271,                 1.2673,                0.81201,                 0.7565,                0.82113,                0.53264,                 1.4323,                 1.0776,                 1.3187,              0.0054212,              0.0054212,              0.0054212
                     40,                 1.4155,                 1.3246,                  1.268,                0.81131,                0.76085,                0.82167,                0.52627,                 1.4343,                  1.075,                 1.3202,              0.0052975,              0.0052975,              0.0052975
                     41,                 1.4228,                 1.3629,                 1.2664,                 0.8112,                0.76486,                0.82555,                0.53579,                 1.4243,                 1.0527,                 1.3121,              0.0051737,              0.0051737,              0.0051737
                     42,                 1.4103,                 1.3093,                 1.2609,                0.78604,                0.77564,                0.82613,                0.53377,                 1.4238,                 1.0523,                 1.3113,                0.00505,                0.00505,                0.00505
                     43,                  1.385,                  1.263,                 1.2536,                0.80317,                0.76914,                0.82763,                0.53561,                 1.4222,                 1.0396,                 1.3128,              0.0049263,              0.0049263,              0.0049263
                     44,                 1.3856,                 1.2809,                 1.2523,                0.82013,                0.77554,                0.83471,                0.53138,                 1.4169,                 1.0234,                 1.3093,              0.0048025,              0.0048025,              0.0048025
                     45,                 1.3763,                 1.2458,                 1.2524,                0.84492,                0.76164,                0.83888,                0.53157,                 1.4179,                 1.0146,                 1.3129,              0.0046788,              0.0046788,              0.0046788
                     46,                 1.3744,                 1.2402,                 1.2431,                0.84064,                0.77068,                0.83962,                0.53995,                 1.4169,                  1.016,                 1.3106,               0.004555,               0.004555,               0.004555
                     47,                 1.3574,                 1.2021,                 1.2291,                0.83605,                0.76923,                0.84106,                0.53813,                  1.418,                 1.0193,                 1.3121,              0.0044313,              0.0044313,              0.0044313
                     48,                 1.3623,                 1.2155,                 1.2445,                 0.8339,                0.78768,                0.84426,                 0.5385,                 1.4186,                 1.0122,                 1.3133,              0.0043075,              0.0043075,              0.0043075
                     49,                 1.3469,                  1.182,                  1.226,                0.83641,                0.78465,                0.84632,                0.54076,                 1.4196,                 1.0076,                 1.3146,              0.0041837,              0.0041837,              0.0041837
                     50,                 1.3396,                 1.1715,                 1.2252,                0.83252,                 0.7837,                0.84876,                0.54138,                 1.4179,                  1.003,                 1.3137,                0.00406,                0.00406,                0.00406
                     51,                 1.3368,                 1.1882,                 1.2221,                 0.8303,                0.78713,                0.85074,                 0.5473,                  1.417,                 1.0011,                 1.3142,              0.0039362,              0.0039362,              0.0039362
                     52,                 1.3235,                 1.1528,                 1.2175,                0.83187,                0.78689,                0.84951,                0.54732,                 1.4162,                 1.0003,                  1.312,              0.0038125,              0.0038125,              0.0038125
                     53,                 1.3213,                 1.1231,                 1.2203,                0.83709,                0.78841,                0.85097,                0.54971,                 1.4157,                0.99862,                 1.3123,              0.0036888,              0.0036888,              0.0036888
                     54,                 1.3185,                  1.093,                 1.2137,                0.84102,                0.79126,                0.85249,                0.54912,                 1.4148,                0.99723,                 1.3128,               0.003565,               0.003565,               0.003565
                     55,                 1.3084,                 1.1213,                 1.2155,                0.83871,                0.79654,                0.85381,                0.55009,                 1.4153,                0.99853,                 1.3123,              0.0034413,              0.0034413,              0.0034413
                     56,                 1.2788,                 1.0964,                  1.193,                0.84257,                0.79371,                0.85482,                0.55162,                 1.4148,                0.99765,                 1.3115,              0.0033175,              0.0033175,              0.0033175
                     57,                 1.2871,                 1.0745,                 1.2034,                 0.8426,                0.79617,                0.85444,                0.55237,                 1.4156,                0.99921,                 1.3117,              0.0031938,              0.0031938,              0.0031938
                     58,                 1.2784,                 1.0607,                 1.1937,                0.84221,                0.79875,                0.85516,                 0.5545,                  1.417,                0.99965,                 1.3122,                0.00307,                0.00307,                0.00307
                     59,                  1.288,                  1.068,                 1.2026,                0.84572,                0.79958,                0.85534,                0.55674,                 1.4165,                0.99904,                 1.3118,              0.0029462,              0.0029462,              0.0029462
                     60,                 1.2457,                 1.0296,                 1.1789,                0.84163,                0.80025,                0.85611,                0.55878,                 1.4164,                0.99841,                 1.3116,              0.0028225,              0.0028225,              0.0028225
                     61,                 1.2512,                 1.0165,                 1.1842,                0.84281,                 0.8026,                0.85669,                0.55915,                 1.4148,                0.99737,                 1.3111,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.2554,                 1.0205,                  1.183,                0.84439,                0.80068,                0.85687,                0.55876,                 1.4145,                0.99742,                 1.3108,               0.002575,               0.002575,               0.002575
                     63,                 1.2275,                0.99507,                 1.1698,                0.84941,                0.79852,                0.85736,                0.56113,                 1.4143,                0.99622,                 1.3104,              0.0024513,              0.0024513,              0.0024513
                     64,                 1.2255,                 1.0068,                 1.1699,                 0.8513,                0.79905,                0.85808,                0.56169,                 1.4143,                0.99449,                  1.311,              0.0023275,              0.0023275,              0.0023275
                     65,                 1.2206,                0.96496,                 1.1661,                0.85684,                0.79662,                0.85833,                0.56221,                 1.4143,                0.99257,                  1.311,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.2176,                0.96501,                 1.1661,                 0.8533,                0.79801,                0.85875,                0.56244,                 1.4136,                0.99225,                 1.3109,                0.00208,                0.00208,                0.00208
                     67,                 1.2114,                0.94124,                  1.158,                0.86026,                0.79533,                0.85902,                0.56307,                 1.4134,                0.99176,                 1.3106,              0.0019563,              0.0019563,              0.0019563
                     68,                 1.1925,                0.92875,                 1.1525,                  0.863,                0.79181,                0.85917,                0.56403,                 1.4139,                0.99194,                 1.3114,              0.0018325,              0.0018325,              0.0018325
                     69,                 1.1802,                0.92259,                 1.1473,                 0.8704,                0.79272,                0.85961,                0.56472,                  1.415,                0.99264,                 1.3121,              0.0017087,              0.0017087,              0.0017087
                     70,                 1.1726,                0.91645,                 1.1429,                0.87103,                 0.7943,                0.85954,                 0.5646,                 1.4152,                0.99489,                 1.3122,               0.001585,               0.001585,               0.001585
                     71,                 1.1611,                0.88367,                 1.1379,                0.86936,                0.79498,                 0.8601,                0.56629,                 1.4162,                0.99446,                 1.3129,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.1573,                0.88931,                 1.1261,                0.86491,                0.79614,                 0.8595,                0.56672,                 1.4168,                0.99472,                 1.3135,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.0994,                0.72214,                 1.1122,                0.87142,                0.79623,                0.86025,                0.56599,                 1.4165,                0.99498,                 1.3136,              0.0012138,              0.0012138,              0.0012138
                     74,                 1.0739,                0.67167,                 1.1046,                0.87157,                 0.7961,                0.86047,                0.56732,                 1.4159,                0.99405,                 1.3135,                0.00109,                0.00109,                0.00109
                     75,                 1.0688,                0.66482,                 1.1018,                0.87133,                0.79419,                0.86055,                0.56811,                 1.4162,                0.99386,                 1.3144,             0.00096625,             0.00096625,             0.00096625
                     76,                 1.0647,                0.66059,                 1.0963,                0.87155,                0.79421,                0.86082,                0.56928,                 1.4164,                0.99421,                 1.3148,              0.0008425,              0.0008425,              0.0008425
                     77,                 1.0595,                0.64711,                 1.0988,                0.86977,                 0.7939,                0.85974,                0.56845,                 1.4163,                0.99366,                 1.3151,             0.00071875,             0.00071875,             0.00071875
                     78,                  1.036,                 0.6298,                  1.084,                0.87205,                0.79268,                0.86007,                0.56778,                 1.4162,                 0.9938,                 1.3158,               0.000595,               0.000595,               0.000595
                     79,                 1.0185,                0.61689,                 1.0741,                0.87429,                0.79224,                0.86019,                  0.568,                 1.4168,                0.99499,                 1.3168,             0.00047125,             0.00047125,             0.00047125
                     80,                 1.0061,                0.60575,                 1.0745,                0.87581,                0.78346,                0.86019,                0.56816,                 1.4171,                0.99394,                 1.3179,              0.0003475,              0.0003475,              0.0003475
